City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Vaini,-21.2,-175.2,77.16,83,75,10.36
Lüderitz,-26.6481,15.1594,66.85,33,0,12.33
San Juan,-31.5375,-68.5364,64.72,59,0,4.85
Pontes e Lacerda,-15.2261,-59.3353,79.12,48,99,2.46
Lebu,-37.6167,-73.65,47.19,83,96,6.87
Forestville,38.8451,-76.875,79.47,76,1,5.75
Tiksi,71.6872,128.8694,44.74,58,99,1.12
Ushuaia,-54.8,-68.3,42.46,65,40,20.71
Distrikt Brokopondo,4.75,-55.1667,75.04,92,100,6.67
Moses Lake,47.1301,-119.2781,63.55,27,20,10.36
Mayo,38.8876,-76.5119,79.65,77,1,1.01
Torbay,47.6666,-52.7314,38.3,93,90,9.22
Bethel,41.3712,-73.414,75.63,72,74,1.01
Bluff,-46.6,168.3333,49.8,73,7,8.79
Guerrero Negro,27.9769,-114.0611,63.88,74,83,16.42
San Patricio,28.017,-97.5169,82.49,88,2,14.0
Sinnamary,5.3833,-52.95,77.0,89,100,4.25
Arraial do Cabo,-22.9661,-42.0278,72.97,88,69,14.61
Alofi,-19.0595,-169.9187,78.69,65,10,6.91
Lamar,33.6668,-95.5836,76.5,78,1,7.18
Mabaruma,8.2,-59.7833,73.42,98,83,3.44
Mackay,-21.15,149.2,71.76,64,90,12.66
Williamsburg,37.2707,-76.7075,79.7,78,1,3.44
Saskylakh,71.9167,114.0833,42.66,47,100,7.05
Acapulco de Juárez,16.8634,-99.8901,85.82,74,75,8.03
Atuona,-9.8,-139.0333,80.01,64,22,7.25
Rikitea,-23.1203,-134.9692,76.39,85,100,16.15
Basco,20.4487,121.9702,83.12,79,99,11.77
Albany,42.6001,-73.9662,73.56,69,45,3.15
Vao,-22.6667,167.4833,69.96,62,21,15.01
Mandalgovi,45.7625,106.2708,50.7,57,0,17.81
Kysyl-Syr,63.8986,122.7617,46.76,83,100,11.34
Chake Chake,-5.2459,39.7666,76.32,77,28,15.59
Port Alfred,-33.5906,26.891,62.47,36,0,9.46
Jamestown,42.097,-79.2353,72.86,64,1,8.05
Westport,41.1415,-73.3579,75.56,71,1,1.01
Yar-Sale,66.8333,70.8333,39.15,60,84,11.63
Saint-Joseph,-21.3667,55.6167,69.24,84,96,16.64
Yellowknife,62.456,-114.3525,48.49,57,75,7.0
Kieta,-6.2167,155.6333,85.26,70,13,5.68
Tuktoyaktuk,69.4541,-133.0374,37.4,70,75,14.97
Kenai,60.5544,-151.2583,62.71,43,1,13.8
Kapaa,22.0752,-159.319,80.22,68,20,5.01
Northam,51.0333,-4.2167,52.32,95,55,4.52
George Town,5.4112,100.3354,81.99,86,20,1.01
Elliot,-31.3333,27.85,41.05,55,0,7.0
Coquimbo,-29.9533,-71.3436,55.13,87,90,2.19
Severo-Kuril'sk,50.6789,156.125,44.06,92,100,13.96
Tarakan,3.3,117.6333,83.7,84,40,2.3
Kudahuvadhoo,2.6708,72.8944,82.78,72,30,15.23
